frame,yaw,pitch
237,-0.2729,-0.269
238,-0.28072,-0.28211
239,-0.29227,-0.2921
240,-0.29227,-0.2921
241,-0.27124,-0.24859
242,-0.30925,-0.27027
243,-0.26739,-0.25184
244,-0.28316,-0.28868
245,-0.26961,-0.27495
246,-0.26961,-0.27495
247,-0.25026,-0.24881
248,-0.26077,-0.27112
249,-0.27148,-0.28631
250,-0.28749,-0.22374
251,-0.27472,-0.30148
252,-0.27472,-0.30148
253,-0.28371,-0.26119
254,-0.25457,-0.26108
255,-0.27048,-0.26659
256,-0.27361,-0.27706
257,-0.27361,-0.27706
258,-0.27478,-0.29047
259,-0.27278,-0.27786
260,-0.27478,-0.26657
261,-0.27433,-0.21421
262,-0.28332,-0.27978
263,-0.28332,-0.27978
264,-0.27571,-0.28512
265,-0.26297,-0.23663
266,-0.26758,-0.27382
267,-0.29587,-0.26282
268,-0.26017,-0.2662
269,-0.26017,-0.2662
270,-0.27763,-0.29014
271,-0.26394,-0.28236
272,-0.27289,-0.27946
273,-0.27057,-0.25839
274,-0.27057,-0.25839
275,-0.26056,-0.26678
276,-0.26974,-0.2827
277,-0.26914,-0.26465
278,-0.28167,-0.26535
279,-0.26282,-0.26671
280,-0.26282,-0.26671
281,-0.29328,-0.27639
282,-0.29219,-0.26783
283,-0.27564,-0.26458
284,-0.28872,-0.29354
285,-0.27214,-0.26051
286,-0.27214,-0.26051
287,-0.28425,-0.2553
288,-0.28287,-0.26833
289,-0.27806,-0.26027
290,-0.2908,-0.27376
291,-0.2908,-0.27376
292,-0.27231,-0.29046
293,-0.26852,-0.25491
294,-0.25427,-0.28568
295,-0.28061,-0.25465
296,-0.2761,-0.30705
297,-0.2761,-0.30705
298,-0.26727,-0.26385
299,-0.28038,-0.27505
300,-0.28121,-0.28726
301,-0.2695,-0.28086
302,-0.27954,-0.26854
303,-0.27954,-0.26854
304,-0.28022,-0.24135
305,-0.28498,-0.26049
306,-0.30443,-0.26321
307,-0.25612,-0.27219
308,-0.25612,-0.27219
309,-0.26868,-0.25532
310,-0.31381,-0.25613
311,-0.31877,-0.24188
312,-0.39169,0.06846
313,-0.39169,0.06846
314,-0.3821,0.21077
315,-0.37105,0.19993
316,-0.37869,0.27277
317,-0.36405,0.30093
318,-0.38982,0.29885
319,-0.38982,0.29885
320,-0.37465,0.29728
321,-0.36793,0.3216
322,-0.3788,0.3212
323,-0.38165,0.30151
324,-0.38165,0.30151
325,-0.39142,0.32383
326,-0.37582,0.32809
327,-0.38886,0.33419
328,-0.38488,0.34162
329,-0.39275,0.3244
330,-0.39275,0.3244
331,-0.38039,0.32059
332,-0.38525,0.35126
333,-0.35966,0.33015
334,-0.37375,0.33345
335,-0.37375,0.33345
336,-0.38789,0.30512
337,-0.39978,0.31423
338,-0.38595,0.34218
339,-0.38576,0.33751
340,-0.37002,0.3322
341,-0.37002,0.3322
342,-0.37937,0.3392
343,-0.40306,0.33714
344,-0.36292,0.32097
345,-0.37553,0.30857
346,-0.3858,0.29491
347,-0.3858,0.29491
348,-0.39416,0.31805
349,-0.38448,0.30669
350,-0.38183,0.3136
351,-0.38233,0.30638
352,-0.38233,0.30638
353,-0.38358,0.28538
354,-0.38987,0.26331
355,-0.38106,0.31329
356,-0.37052,0.32757
357,-0.37052,0.32757
358,-0.39106,0.32098
359,-0.37485,0.33387
360,-0.37173,0.3192
361,-0.35274,0.34517
362,-0.37684,0.2835
363,-0.37684,0.2835
364,-0.36391,0.3317
365,-0.37602,0.34908
366,-0.37894,0.36261
367,-0.38282,0.31259
368,-0.38282,0.31259
369,-0.35637,0.30584
370,-0.37387,0.32195
371,-0.35121,0.31135
372,-0.36851,0.33074
373,-0.36851,0.33074
374,-0.3676,0.33188
375,-0.37379,0.28009
376,-0.34491,0.2954
377,-0.35649,0.31774
378,-0.38711,0.33917
379,-0.38711,0.33917
380,-0.37448,0.3101
381,-0.3628,0.30501
382,-0.3596,0.30105
383,-0.37418,0.32923
384,-0.37418,0.32923
385,-0.38415,0.30732
386,-0.38789,0.30233
387,-0.35163,0.31091
388,-0.37733,0.28282
389,-0.38957,0.30441
390,-0.38957,0.30441
391,-0.36843,0.28266
392,-0.36025,0.31892
393,-0.35335,0.32047
394,-0.381,0.31929
395,-0.381,0.31929
396,-0.37734,0.28699
397,-0.34177,0.30003
398,-0.33159,0.30143
399,-0.35717,0.30516
400,-0.34021,0.2991
401,-0.34021,0.2991
402,-0.34272,0.3104
403,-0.37024,0.34856
